iter	RMSE
0	316973.9169
1	309886.5461
2	302590.7186
3	295850.5662
4	289857.1341
5	284703.3753
6	278833.5703
7	273448.622
8	268691.4676
9	264413.5349
10	260309.8389
11	256611.8004
12	253316.0002
13	249926.5312
14	246651.58
15	244105.2685
16	242019.4078
17	241639.0544
18	239182.7695
19	236024.7152
20	234161.5816
21	233817.2482
22	233485.7248
23	231516.2842
24	230138.357
25	227945.6963
26	227641.3671
27	225241.9994
28	224961.9201
29	224168.0645
30	223899.2171
31	221796.1761
32	221545.9013
33	221309.1251
34	220262.6049
35	218670.8684
36	218063.0488
37	216482.5015
38	215002.8775
39	214366.0474
40	213324.9548
41	212547.2709
42	212365.3837
43	212179.4029
44	212008.8242
45	211556.1297
46	210502.3617
47	210344.7685
48	210190.7259
49	210044.7721
50	209900.1961
51	209251.5027
52	207240.2456
53	205873.3937
54	205156.7104
55	203796.4952
56	202039.7574
57	201685.0245
58	201574.067
59	200798.7395
60	199619.6889
61	199518.4503
62	198293.7789
63	197140.1081
64	196036.3054
65	194575.2117
66	193628.0228
67	192475.9611
68	191768.6763
69	190941.5874
70	190103.0584
71	189186.0291
72	188095.7475
73	188024.3677
74	187810.6399
75	186600.7185
76	186173.656
77	185335.3278
78	185023.7563
79	184550.9081
80	184049.111
81	183588.3893
82	183168.6809
83	181911.0106
84	179753.0216
85	179289.232
86	178350.0481
87	177717.3582
88	177212.0573
89	177168.2892
90	176080.7479
91	175074.5666
92	174586.7776
93	174045.8444
94	173447.789
95	172690.6779
96	172339.4817
97	171094.0847
98	170644.0219
99	169981.6576
100	169859.6807
101	168340.9492
102	167968.5741
103	167805.7884
104	167165.8357
105	166843.3311
106	166376.1242
107	165905.6472
108	165432.629
109	165069.3202
110	164781.3179
111	163981.5484
112	163566.6417
113	163061.3791
114	162459.5456
115	162239.8745
116	161973.2015
117	160991.7684
118	160095.1646
119	159709.2401
120	159066.9556
121	158660.5862
122	157952.0263
123	157739.0266
124	157210.3629
125	156954.6952
126	156552.4738
127	156226.5824
128	155869.9493
129	155368.3038
130	154607.2794
131	154157.7967
132	153753.1958
133	153357.9836
134	153024.8049
135	152677.2762
136	152414.8413
137	151994.5064
138	151735.6318
139	150895.3512
140	150604.9356
141	150129.1275
142	149959.0088
143	149718.9766
144	149579.0312
145	149195.5671
146	148787.2833
147	148451.6494
148	148100.2412
149	147729.6739
150	147519.1048
151	147031.9786
152	146774.032
153	146511.6495
154	146290.0437
155	146021.9769
156	145605.355
157	145287.8013
158	144851.2606
159	144679.7243
160	144570.0568
161	144185.7071
162	143518.7093
163	143266.2973
164	143136.2745
165	142916.0236
