iter	Passed	Remaining
0	149	149681
1	157	78755
2	166	55265
3	177	44275
4	187	37317
5	198	32852
6	209	29720
7	220	27324
8	229	25254
9	240	23785
10	251	22632
11	262	21590
12	272	20723
13	284	20052
14	294	19336
15	501	30863
16	537	31073
17	547	29871
18	563	29069
19	586	28757
20	603	28143
21	619	27556
22	640	27221
23	659	26803
24	673	26247
25	686	25732
26	705	25440
27	717	24913
28	730	24459
29	745	24103
30	759	23728
31	773	23397
32	785	23005
33	791	22488
34	806	22227
35	821	21986
36	828	21569
37	840	21282
38	854	21060
39	867	20830
40	881	20614
41	900	20543
42	911	20280
43	922	20037
44	934	19837
45	957	19867
46	971	19708
47	978	19412
48	991	19239
49	1001	19037
50	1014	18880
51	1027	18732
52	1062	18986
53	1085	19008
54	1100	18910
55	1115	18798
56	1129	18680
57	1143	18570
58	1149	18334
59	1162	18214
60	1175	18088
61	1185	17935
62	1197	17817
63	1212	17739
64	1225	17624
65	1236	17504
66	1252	17439
67	1266	17353
68	1279	17264
69	1305	17341
70	1327	17366
71	1341	17287
72	1363	17313
73	1369	17133
74	1377	16987
75	1401	17037
76	1426	17096
77	1449	17137
78	1461	17039
79	1481	17031
80	1498	16998
81	1511	16921
82	1528	16889
83	1545	16853
84	1561	16807
85	1578	16773
86	1589	16677
87	1603	16622
88	1618	16569
89	1626	16443
90	1641	16401
91	1659	16382
92	1681	16401
93	1701	16394
94	1711	16303
95	1721	16211
96	1732	16128
97	1746	16072
98	1759	16014
99	1770	15932
100	1778	15829
101	1792	15777
102	1806	15733
103	1821	15693
104	1838	15667
105	1858	15673
106	1876	15658
107	1892	15627
108	1923	15725
109	1936	15671
110	2003	16043
111	2053	16283
112	2104	16521
113	2124	16509
114	2139	16468
115	2152	16407
116	2164	16334
117	2188	16361
118	2220	16440
119	2242	16447
120	2260	16418
121	2284	16440
122	2296	16377
123	2309	16315
124	2321	16250
125	2336	16206
126	2350	16156
127	2364	16105
128	2379	16068
129	2392	16012
130	2404	15950
131	2414	15879
132	2428	15829
133	2442	15783
134	2457	15746
135	2472	15708
136	2490	15685
137	2521	15748
138	2536	15708
139	2551	15673
140	2566	15636
141	2582	15606
142	2594	15547
143	2608	15507
144	2622	15464
145	2634	15408
146	2649	15374
147	2661	15319
148	2674	15274
149	2683	15208
150	2699	15175
151	2710	15120
152	2725	15089
153	2735	15029
154	2750	14992
155	2764	14957
156	2780	14927
157	2794	14893
158	2809	14859
159	2827	14842
160	2841	14806
161	2858	14787
162	2877	14778
163	2907	14821
164	2920	14779
165	2931	14726
166	2946	14697
167	2963	14676
168	2974	14627
169	2986	14580
170	3006	14574
171	3023	14552
172	3037	14518
173	3052	14492
174	3067	14462
175	3081	14426
176	3094	14386
177	3107	14348
178	3119	14309
179	3128	14252
180	3140	14212
181	3153	14174
182	3165	14133
183	3173	14074
184	3186	14038
185	3198	13996
186	3208	13948
187	3219	13907
188	3231	13868
189	3242	13823
190	3251	13774
191	3274	13781
192	3285	13735
193	3295	13692
194	3306	13649
195	3315	13598
196	3326	13558
197	3336	13516
198	3351	13488
199	3360	13442
200	3374	13412
201	3386	13379
202	3401	13354
203	3409	13304
204	3421	13268
205	3435	13239
206	3447	13206
207	3457	13163
208	3470	13135
209	3482	13100
210	3496	13076
211	3509	13045
212	3518	12999
213	3529	12963
214	3540	12927
215	3550	12885
216	3560	12848
217	3571	12810
218	3581	12770
219	3592	12737
220	3602	12698
221	3609	12650
222	3619	12610
223	3628	12570
224	3640	12539
225	3661	12539
226	3672	12505
227	3682	12468
228	3691	12429
229	3702	12395
230	3712	12358
231	3722	12322
232	3733	12290
233	3744	12256
234	3754	12220
235	3765	12188
236	3778	12163
237	3792	12143
238	3803	12109
239	3813	12077
240	3827	12052
241	3842	12034
242	3855	12010
243	3868	11985
244	3878	11953
245	3890	11924
246	3903	11901
247	3915	11873
248	3925	11838
249	3938	11816
250	3952	11794
251	3965	11770
252	3979	11749
253	3992	11725
254	4003	11695
255	4015	11671
256	4030	11651
257	4054	11659
258	4065	11630
259	4077	11603
260	4086	11570
261	4095	11535
262	4106	11506
263	4117	11477
264	4126	11445
265	4137	11416
266	4147	11386
267	4157	11356
268	4168	11326
269	4179	11300
270	4189	11270
271	4200	11243
272	4212	11218
273	4223	11190
274	4235	11167
275	4246	11140
276	4254	11105
277	4265	11078
278	4276	11050
279	4285	11019
280	4296	10992
281	4306	10965
282	4316	10935
283	4326	10908
284	4337	10881
285	4347	10853
286	4358	10827
